asymptomatic,productivity_loss
0,0.7263
0.05263157894736842,0.6880736842105263
0.10526315789473684,0.6498473684210526
0.15789473684210525,0.611621052631579
0.21052631578947367,0.5733947368421053
0.2631578947368421,0.5351684210526315
0.3157894736842105,0.49694210526315796
0.3684210526315789,0.4587157894736842
0.42105263157894735,0.4204894736842105
0.47368421052631576,0.38226315789473686
0.5263157894736842,0.3440368421052632
0.5789473684210527,0.3058105263157894
0.631578947368421,0.26758421052631576
0.6842105263157894,0.2293578947368422
0.7368421052631579,0.19113157894736843
0.7894736842105263,0.15290526315789477
0.8421052631578947,0.1146789473684211
0.894736842105263,0.07645263157894744
0.9473684210526315,0.038226315789473775
1,0
